Texto en Inglés (Origen),Texto en Español (Destino)
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10 veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10 veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
These included: dose-dependent adrenocortical toxicity (lipofuscin pigment accumulation and/ or parenchymal cell loss) in rats after 104 weeks at 20 to 60 mg/ kg/ day (3 to 10 times the mean steady-state AUC at the maximum recommended human dose) and increased adrenocortical carcinomas and combined adrenocortical adenomas/ carcinomas in female rats at 60 mg/ kg/ day (10 times the mean steady-state AUC at the maximum recommended human dose).,Estos incluían: toxicidad adrenocortical dosis dependiente (acumulación del pigmento lipofuscina y/ o pérdida de células parenquimales) en ratas después de 104 semanas entre 20 y 60 mg/ kg/ día (3 a 10 veces el AUC en el estado estacionario de la dosis máxima recomendada en humanos) y aumento de los carcinomas adrenocorticales y de la combinación de adenomas/ carcinomas adrenocorticales en ratas hembras a 60 mg/ kg/ día (10 veces el AUC media en el estado estacionario de la dosis máxima recomendada para humanos).
The highest nontumorigenic exposure in female rats was 7 times the human exposure at the recommended dose.,La exposición no tumorgénica en hembras de rata fue 7 veces más alta respecto a la exposición humana a la dosis recomendada.
Abraxane is used to treat metastatic breast cancer in patients whose first treatment for their metastatic disease has stopped working and for whom standard treatment including an ‘ anthracycline’ (a type of anticancer medicine) is not suitable. ‘ Metastatic’ means that the cancer has spread to other parts of the body.,El término « metastásico » significa que el cáncer se ha diseminado a otras partes del organismo.
"The effectiveness of Abraxane has been studied in one main study involving 460 women with metastatic breast cancer, around three-quarters of whom had received an anthracycline in the past.","La eficacia de Abraxane se ha examinado en un estudio principal en el que participaron 460 mujeres con cáncer metastásico de mama, de las cuales tres cuartas partes habían recibido con anterioridad una antraciclina."
"When looking only at the patients who were receiving their first treatment for metastatic breast cancer, there was no difference between the medicines in terms of measures of effectiveness such as the time until the disease got worse and survival.","Cuando se tuvo en cuenta solamente a las pacientes que estaban recibiendo su primer tratamiento para el cáncer metastásico de mama, no hubo diferencia entre los medicamentos en lo que se refiere a los criterios de eficacia, por ejemplo el tiempo transcurrido hasta el empeoramiento de la enfermedad y la supervivencia."
"In contrast, in patients who had taken other treatments for metastatic breast cancer before, these additional measures showed that Abraxane was more effective than conventional paclitaxel-containing medicines.","Por el contrario, en pacientes que habían recibido con anterioridad otros tratamientos para el cáncer metastásico de mama, estos parámetros adicionales mostraron que Abraxane era más eficaz que los medicamentos tradicionales que contienen paclitaxel."
"The Committee decided that Abraxane’ s benefits are greater than its risks for the treatment of metastatic breast cancer in patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline-containing therapy is not indicated.",El Comité decidió que los beneficios de Abraxane son mayores que sus riesgos en el tratamiento del cáncer de mama metastásico en pacientes en los que haya fracasado el tratamiento en primera línea de la enfermedad metastásica y para los que no esté indicada la terapia estándar con antraciclinas.
"Abraxane monotherapy is indicated for the treatment of metastatic breast cancer in patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated (See also section 4.4).",Abraxane en monoterapia está indicado en el tratamiento del cáncer de mama metastásico en pacientes en lo que haya fracasado el tratamiento en primera línea de la enfermedad metastásica y para los que no esté indicada la terapia estándar con antraciclinas (ver sección 4.4).
The following are the most common and important incidences of adverse reactions related to 229 patients with metastatic breast cancer who were treated with 260 mg/ m2 Abraxane once every three weeks in the pivotal phase III clinical study.,Las siguientes reacciones adversas son las más frecuentes e importantes que se produjeron en los 229 pacientes con cáncer de mama metastásico tratados con una dosis de 260 mg/ m2 de Abraxane cada tres semanas en un ensayo clínico pivotal de fase III.
Breast carcinoma:,Carcinoma de mama:
Data from 106 patients accrued in two single-arm open-label studies and from 454 patients treated in a randomised Phase III comparative study are available to support the use of Abraxane in metastatic breast cancer.,"Datos procedentes de 106 pacientes reclutados en dos ensayos clínicos abiertos no controlados y de 454 pacientes que recibieron tratamiento en un ensayo de fase III comparativo y aleatorizado,, avalan el uso de Abraxane en el tratamiento del cáncer de mama metastásico."
"In one study, Abraxane was administered as a 30-minute infusion at a dose of 175 mg/ m2 to 43 patients with metastatic breast cancer.","En un ensayo, se administró una dosis de 175 mg/ m2 Abraxane como perfusión durante 30 minutos a 43 pacientes con cáncer de mama metastásico."
The second trial utilised a dose of 300 mg/ m2 as a 30 minute infusion in 63 patients with metastatic breast cancer.,El segundo ensayo utilizó una dosis de 300 mg/ m2 como perfusión de 30 minutos en 63 pacientes con cáncer de mama metastásico.
"This multi-centre trial was conducted in patients with metastatic breast cancer, who were treated every 3 weeks with single-agent paclitaxel, either as solvent-based paclitaxel 175 mg/ m2 given as a 3-hour infusion with premedication to prevent hypersensitivity (N = 225), or as Abraxane 260 mg/ m2 given as a 30 minute infusion without premedication (N = 229).","Este ensayo multicéntrico se realizó en pacientes con cáncer de mama metastásico, los cuales recibieron tratamiento cada 3 semanas con paclitaxel en monoterapia, bien como paclitaxel 175 mg/ m2 administrado en forma de perfusión de 3 horas con premedicación para prevenir la hipersensibilidad (N = 225), o Abraxane 260 mg/ m2 administrado como una perfusión de 30 minutos sin premedicación (N = 229)."
"Following intravenous administration of Abraxane to patients with metastatic breast cancer at the recommended clinical dose of 260 mg/ m2, paclitaxel plasma concentrations declined in a multiphasic manner.","Después de la administración intravenosa de la dosis recomendada en clínica de 260 mg/ m2 a pacientes con cáncer de mama metastásico, la concentración plasmática de paclitaxel disminuyó en varias etapas (multifásica)."
"In patients with metastatic breast cancer, after a 30 minute infusion of Abraxane at 260 mg/ m2, the mean value for cumulative urinary excretion of unchanged active substance accounted for 4% of the total administered dose with less than 1% as the metabolites 6α -hydroxypaclitaxel and 3’ -p-hydroxypaclitaxel, indicating extensive non-renal clearance.","En pacientes con cáncer de mama metastásico, tras una perfusión continua de 30 minutos de Abraxane a 260 mg/ m2, la media de la excreción urinaria acumulada del fármaco inalterado correspondía al 4% de la dosis total administrada, con menos de un 1% como metabolitos 6α -hidroxipaclitaxel y 3’ -p- hidroxipaclitaxel, lo cual indica la importancia del aclaramiento no-renal."
Abraxane is used for the treatment of breast cancer when other therapies have been tried but have not worked and if you are unsuitable for anthracycline containing treatments.,Abraxane se utiliza para el tratamiento del cáncer de mama cuando no han funcionado otras terapias pero no han funcionado y en su caso no es adecuado un tratamiento con antraciclinas.
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
An investigational study (BEST study) in women with metastatic breast cancer was designed to determine whether epoetin alfa treatment that extended beyond the correction of anaemia could improve treatment outcomes.,Se diseñó un estudio de investigación (estudio BEST) en mujeres con cáncer de mama metastásico para determinar si el tratamiento con epoyetina alfa durante un periodo más amplio que el necesario para la corrección de la anemia pudiera mejorar los resultados del tratamiento.
"patients with metastatic breast cancer receiving chemotherapy when administered to target a haemoglobin of 12 - 14 g/ dl (7.5 – 8.7 mmol/ l),","progresión de la enfermedad a los cuatro meses en los pacientes con cáncer de mama que reciben quimioterapia cuando se administra para lograr un objetivo de hemoglobina de 12 a 14 g/ dl (7,5 a 8,7 mmol/ l)."
"Aclasta contains the same active substance found in Zometa (zoledronic acid), used for oncology indications, and a patient being treated with Zometa should not be treated with Aclasta.","Aclasta contiene el mismo principio activo que Zometa (ácido zoledrónico), utilizado para indicaciones oncológicas, y un paciente que esté siendo tratado con Zometa no debe ser tratado con Aclasta."
"Renal dysfunction has been observed following the administration of zoledronic acid, especially in patients with pre-existing renal compromise or additional risk factors (e. g oncology patients with chemotherapy, concomitant nephrotoxic medications, severe dehydration), the majority of whom received a 4 mg dose every 3– 4 weeks, but it has been observed in patients after a single administration.","6 pacientes con compromiso renal previo o factores de riesgo adicionales (p. ej. pacientes oncológicos con quimioterapia, medicación nefrotóxica concomitante, deshidratación grave), la mayoría de los cuales recibieron una dosis de 4 mg cada 3-4 semanas, pero se ha observado en pacientes tras una única administración."
There was no tumorigenic response in mice of either sex.,No hubo respuesta tumorigénica en ratones de ambos sexos.
There was no tumorigenic response in mice of either sex.,No hubo respuesta tumorigénica en ratones de ambos sexos.
There was no tumorigenic response in mice of either sex.,No hubo respuesta tumorigénica en ratones de ambos sexos.
"12 Carcinogenesis, mutagenesis, impairment of fertility In male rats, a statistically significant increase in urinary bladder tumours (transitional cell papilloma and carcinoma) was found only in association with xanthine calculi in the high dose group, at approximately 11 times human exposure.","Carcinogénesis, mutagénesis, alteración de la fertilidad En ratas macho se ha observado un aumento estadísticamente significativo de los tumores de vejiga (papiloma y carcinoma de células transicionales) sólo en asociación con cálculos de xantina en el grupo de dosis elevadas, con una exposición unas 11 veces superior a la humana."
"Carcinogenesis, mutagenesis, impairment of fertility In male rats, a statistically significant increase in urinary bladder tumours (transitional cell papilloma and carcinoma) was found only in association with xanthine calculi in the high dose group, at approximately 11 times human exposure.","Carcinogénesis, mutagénesis, alteración de la fertilidad En ratas macho se ha observado un aumento estadísticamente significativo de los tumores de vejiga (papiloma y carcinoma de células transicionales) sólo en asociación con cálculos de xantina en el grupo de dosis elevadas, con una exposición unas 11 veces superior a la humana."
A higher incidence of hepatocellular carcinoma was seen in all amprenavir male mouse treatment groups.,Se observó una mayor incidencia de carcinoma hepatocelular en todos los grupos de tratamiento de ratones macho con amprenavir.
The mechanism for the hepatocellular adenomas and carcinomas found in these studies has not been elucidated and the significance of the observed effects for humans is uncertain.,No se ha aclarado el mecanismo para los adenomas y carcinomas hepatocelulares encontrados en estos estudios y la significación de los efectos observados para los humanos es incierta.
38 A higher incidence of hepatocellular carcinoma was seen in all amprenavir male mouse treatment groups.,Se observó una mayor incidencia de carcinoma hepatocelular en todos los grupos de tratamiento de ratones macho con amprenavir.
The mechanism for the hepatocellular adenomas and carcinomas found in these studies has not been elucidated and the significance of the observed effects for humans is uncertain.,No se ha aclarado el mecanismo para los adenomas y carcinomas hepatocelulares encontrados en estos estudios y la significación de los efectos observados para los humanos es incierta.
A higher incidence of hepatocellular carcinoma was seen in all amprenavir male mouse treatment groups.,Se observó una mayor incidencia de carcinoma hepatocelular en todos los grupos de tratamiento de ratones macho con amprenavir.
The mechanism for the hepatocellular adenomas and carcinomas found in these studies has not been elucidated and the significance of the observed effects for humans is uncertain.,No se ha aclarado el mecanismo para los adenomas y carcinomas hepatocelulares encontrados en estos estudios y la significación de los efectos observados para los humanos es incierta.
"Aldara is used in adults to treat the following skin diseases: • warts on the genitals and around the anus; • small basal cell carcinomas (slow-growing types of skin cancer); • actinic keratoses of the face and scalp (precancerous, abnormal skin growths that develop after too much exposure to sunlight), in patients whose immune system is working normally.",Aldara está indicado en adultos para el tratamiento de las siguientes enfermedades de la piel: • verrugas en los genitales y alrededor del ano; • carcinomas basocelulares pequeños (tipos de cáncer de piel de crecimiento lento); • queratosis actínicas de la cara y el cuero cabelludo (crecimientos precancerosos anómalos de la piel que aparecen después de una exposición al sol excesiva) en pacientes cuyo sistema inmunitario funciona con normalidad.
"The number of times Aldara is applied and the duration of treatment depend on the condition being treated: • For genital warts, Aldara is applied three times a week for up to 16 weeks. • For small basal cell carcinomas, the cream is applied five times a week for six weeks. • For actinic keratoses, it is applied three times a week, for one or two four-week courses, with four weeks between courses.","El número de veces que debe aplicarse Aldara y la duración del tratamiento dependen de la afección tratada: • En las verrugas genitales, Aldara se aplica tres veces a la semana durante 16 semanas como máximo. • En los carcinomas basocelulares pequeños, la crema se aplica cinco veces a la semana durante seis semanas. • En la queratosis actínica, se usa tres veces a la semana durante uno o dos ciclos de cuatro semanas, dejando cuatro semanas entre ciclos."
"The main measure of effectiveness was the number of patients with total clearance of treated warts. • Aldara has also been studied in 724 patients with small basal cell carcinomas in two studies where patients were treated for six weeks, and used Aldara or placebo either five times a week or every day.",El criterio de eficacia principal fue el número de pacientes en los que se constató la desaparición total de las verrugas tratadas. • Aldara se ha evaluado también en 724 pacientes con carcinomas basocelulares pequeños en dos estudios en los que el tratamiento duró seis semanas y se administró Aldara o placebo cinco veces a la semana o todos los días.
"In all studies, Aldara was more effective than placebo. • In the treatment of genital warts, the total clearance rate across the four main studies was 15 to 52% in the Aldara-treated patients, compared with 3 to 18% in the placebo-treated patients. • When the results of the two studies in basal cell carcinoma were looked at together, total clearance was seen in 66 to 80% of Aldara-treated patients compared with 0 to 3% in the placebo group.","En todos los estudios, Aldara fue más eficaz que el placebo. • En el tratamiento de las verrugas genitales, la tasa de desaparición total en los cuatro estudios principales fue del 15% a 52% en los pacientes tratados con Aldara, frente al 3% a 18% en los que recibieron el placebo • Cuando se examinaron globalmente los resultados de los dos estudios en pacientes con carcinomas basocelulares, se constató una desaparición total en el 66% a 80% de los pacientes tratados con Aldara, frente al 0% a 3% en el grupo tratado con placebo."
"The Committee for Medicinal Products for Human Use (CHMP) decided that Aldara’ s benefits are greater than its risks for the treatment of external genital and perianal warts (condylomata acuminata), small basal cell carcinomas and nonhyperkeratotic, nonhypertrophic actinic keratoses in immunocompetent adult patients when other topical treatment options are contraindicated or less appropriate.","El Comité de Medicamentos de Uso Humano (CHMP) decidió que los beneficios de Aldara son mayores que sus riesgos para el tratamiento de las verrugas genitales y perianales externas (condiloma acuminado), carcinomas basocelulares pequeños y queratosis actínicas no hiperqueratósicas y no hipertróficas en pacientes adultos inmunocompetentes, cuando otras opciones de tratamiento tópico están contraindicadas o son menos apropiadas."
Small superficial basal cell carcinomas (sBCCs) in adults.,Pequeños carcinomas basocelulares superficiales (CBCs) en adultos
Superficial basal cell carcinoma in adults:,Carcinoma basocelular superficial en adultos:
Superficial basal cell carcinoma:,Carcinoma basocelular superficial:
"External genital warts, superficial basal cell carcinoma and actinic keratosis:","Verrugas genitales externas, carcinoma basocelular superficialy queratosis actínicas:"
Superficial basal cell carcinoma:,Carcinoma basocelular superficial:
"Imiquimod has not been evaluated for the treatment of basal cell carcinoma within 1 cm of the eyelids, nose, lips or hairline.","Imiquimod no se ha evaluado en el tratamiento del carcinoma basocelular situado a una distancia de menos de 1 cm de los párpados, la nariz, los labios y la línea del cuero cabelludo."
Superficial basal cell carcinoma:,Carcinoma basocelular superficial:
